Id,SalePrice,MSSubClass,OverallQual,YearRemodAdd,1stFlrSF,GrLivArea,GarageCars,MSZoning_RL,MSZoning_RM,LotShape_Reg,Neighborhood_Edwards,Neighborhood_NridgHt,Condition1_Norm,RoofStyle_Hip,MasVnrType_None,ExterQual_TA,Foundation_PConc,BsmtCond_TA,BsmtExposure_Gd,BsmtExposure_No,BsmtFinType1_GLQ,BsmtFinType1_Unf,HeatingQC_TA,CentralAir_Y,KitchenQual_TA,Functional_Typ,FireplaceQu_Gd,FireplaceQu_Missing,GarageType_Detchd,GarageFinish_Unf,GarageCond_TA,PavedDrive_Y,SaleType_New,SaleCondition_Partial
1,12.247694320220996,0.2352941176470588,0.6666666666666665,0.09836065573770493,0.3561547482043825,0.5777122882260084,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2,12.109010932687044,0.0,0.5555555555555556,0.5245901639344263,0.5030560164904583,0.4702445078729567,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3,12.31716669303576,0.2352941176470588,0.6666666666666665,0.11475409836065575,0.3834410394874981,0.5930951586829399,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4,11.849397701591439,0.2941176470588235,0.6666666666666665,0.6065573770491803,0.39994101331885457,0.5791574328965412,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
5,12.429216196844385,0.2352941176470588,0.7777777777777777,0.14754098360655735,0.4662370521602308,0.6665228823649914,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6,11.870599909242046,0.17647058823529413,0.4444444444444445,0.2459016393442623,0.3286535459838906,0.4972202460326831,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
7,12.634603026569335,0.0,0.7777777777777777,0.049180327868852465,0.6144648399515797,0.574386761705187,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,12.206072645530176,0.2352941176470588,0.6666666666666665,0.6065573770491803,0.4534645543861125,0.6486996026216678,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9,11.774520202658689,0.17647058823529413,0.6666666666666665,0.9672131147540984,0.42323069565212057,0.5907103163127223,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
10,11.6784399034478,1.0,0.4444444444444445,0.9672131147540984,0.4430673797326055,0.41416859178121257,0.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
